Variable_A,Variable_B,n,df,r_rm,CI_95%,p_val,p_adj,is_significant
Oleic Acid,MMP-2,30,29,0.4,"[0.05, 0.66]",0.025774237,0.555446638,FALSE
Threonine,MMP-2,30,29,0.4,"[0.05, 0.66]",0.025774237,0.555446638,FALSE
"Ethanolamine, 2TMS",MMP-2,30,29,0.4,"[0.05, 0.66]",0.025774237,0.555446638,FALSE
"Ethanolamine, 2TMS",MMP-3,30,29,0.4,"[0.05, 0.66]",0.025774237,0.555446638,FALSE
Oleic Acid,TWEAK/TNFSF12,30,29,0.4,"[0.05, 0.66]",0.025774237,0.555446638,FALSE
Threonine,TWEAK/TNFSF12,30,29,0.4,"[0.05, 0.66]",0.025774237,0.555446638,FALSE
"Ethanolamine, 2TMS",TWEAK/TNFSF12,30,29,0.4,"[0.05, 0.66]",0.025774237,0.555446638,FALSE
Lactic Acid,BAFF/TNFSF13B,30,29,0.4,"[0.05, 0.66]",0.025774237,0.555446638,FALSE
Oleic Acid,BAFF/TNFSF13B,30,29,0.4,"[0.05, 0.66]",0.025774237,0.555446638,FALSE
Lactic Acid,gp130/sIL-6Rb,30,29,0.4,"[0.05, 0.66]",0.025774237,0.555446638,FALSE
Oleic Acid,sIL-6Ra,30,29,0.4,"[0.05, 0.66]",0.025774237,0.555446638,FALSE
Lactic Acid,sTNF-R1,30,29,0.4,"[0.05, 0.66]",0.025774237,0.555446638,FALSE
Methionine,IL-28A/IFN-lambda2,30,29,0.389249472,"[0.04, 0.65]",0.030436262,0.568767802,FALSE
2-OH-Butanoic Acid,IL-12(p70),30,29,0.389249472,"[0.04, 0.65]",0.030436262,0.568767802,FALSE
"1,5-Anhydrohexitol",IL-12(p70),30,29,0.389249472,"[0.04, 0.65]",0.030436262,0.568767802,FALSE
Butanoic acid,IL-12(p70),30,29,0.389249472,"[0.04, 0.65]",0.030436262,0.568767802,FALSE
Erythritol,IL-12(p70),30,29,0.389249472,"[0.04, 0.65]",0.030436262,0.568767802,FALSE
Glycerol,IL-12(p70),30,29,0.389249472,"[0.04, 0.65]",0.030436262,0.568767802,FALSE
L-5-Oxoproline,IL-12(p70),30,29,0.389249472,"[0.04, 0.65]",0.030436262,0.568767802,FALSE
Lactic Acid,IL-28A/IFN-lambda2,30,29,0.389249472,"[0.04, 0.65]",0.030436262,0.568767802,FALSE
"Ethanolamine, 2TMS",IL-28A/IFN-lambda2,30,29,0.389249472,"[0.04, 0.65]",0.030436262,0.568767802,FALSE
L-5-Oxoproline,IL-28A/IFN-lambda2,30,29,0.389249472,"[0.04, 0.65]",0.030436262,0.568767802,FALSE
Threonine,IL-29/IFN-lambda1,30,29,0.389249472,"[0.04, 0.65]",0.030436262,0.568767802,FALSE
2-Aminoadipic acid,IL-29/IFN-lambda1,30,29,0.389249472,"[0.04, 0.65]",0.030436262,0.568767802,FALSE
beta-Alanine,IL-12(p70),30,29,0.389249472,"[0.04, 0.65]",0.030436262,0.568767802,FALSE
Oleic Acid,APRIL/TNFSF13,30,29,0.386500603,"[0.04, 0.65]",0.031732355,0.568767802,FALSE
Threonine,APRIL/TNFSF13,30,29,0.386500603,"[0.04, 0.65]",0.031732355,0.568767802,FALSE
2-Aminoadipic acid,MMP-1,30,29,0.386500603,"[0.04, 0.65]",0.031732355,0.568767802,FALSE
L-5-Oxoproline,MMP-1,30,29,0.386500603,"[0.04, 0.65]",0.031732355,0.568767802,FALSE
"2,3,4-Trihydroxybutyric acid",sCD163,30,29,0.386024323,"[0.04, 0.65]",0.031961409,0.568767802,FALSE
Indole-3-Latic Acid,IL-20,30,29,0.386024323,"[0.04, 0.65]",0.031961409,0.568767802,FALSE
Aminomalonic acid,IL-20,30,29,0.386024323,"[0.04, 0.65]",0.031961409,0.568767802,FALSE
Decanoic acid,TSLP,30,29,0.372934927,"[0.02, 0.64]",0.038800398,0.603590296,FALSE
Palmitelaidic acid,TSLP,30,29,0.372934927,"[0.02, 0.64]",0.038800398,0.603590296,FALSE
"2,3,4-Trihydroxybutyric acid",BAFF/TNFSF13B,30,29,0.372934927,"[0.02, 0.64]",0.038800398,0.603590296,FALSE
Aminomalonic acid,BAFF/TNFSF13B,30,29,0.372934927,"[0.02, 0.64]",0.038800398,0.603590296,FALSE
Glyceraldehyde-3-P(MOX),IL-10,30,29,0.372934927,"[0.02, 0.64]",0.038800398,0.603590296,FALSE
"Ethanolamine, 3TMS",IL-10,30,29,0.372934927,"[0.02, 0.64]",0.038800398,0.603590296,FALSE
"2,3,4-Trihydroxybutyric acid",MMP-2,30,29,0.372934927,"[0.02, 0.64]",0.038800398,0.603590296,FALSE
Aminomalonic acid,MMP-2,30,29,0.372934927,"[0.02, 0.64]",0.038800398,0.603590296,FALSE
"2,3,4-Trihydroxybutyric acid",MMP-3,30,29,0.372934927,"[0.02, 0.64]",0.038800398,0.603590296,FALSE
Indole-3-Latic Acid,sTNF-R1,30,29,0.372934927,"[0.02, 0.64]",0.038800398,0.603590296,FALSE
"2,3,4-Trihydroxybutyric acid",TWEAK/TNFSF12,30,29,0.372934927,"[0.02, 0.64]",0.038800398,0.603590296,FALSE
Aminomalonic acid,TWEAK/TNFSF12,30,29,0.372934927,"[0.02, 0.64]",0.038800398,0.603590296,FALSE
Glyceraldehyde-3-P(MOX),IFN-a2,30,29,0.358057437,"[0.00, 0.63]",0.047953441,0.704122005,FALSE
2-Keto-3-methylvaleric acid,IL-35,30,29,0.358057437,"[0.00, 0.63]",0.047953441,0.704122005,FALSE
Methyl galactoside,IL-35,30,29,0.358057437,"[0.00, 0.63]",0.047953441,0.704122005,FALSE
Lactic Acid,IL-35,30,29,0.358057437,"[0.00, 0.63]",0.047953441,0.704122005,FALSE
L-5-Oxoproline,IL-35,30,29,0.358057437,"[0.00, 0.63]",0.047953441,0.704122005,FALSE
Indole-3-Latic Acid,APRIL/TNFSF13,30,29,0.357370845,"[0.00, 0.63]",0.048414059,0.704122005,FALSE
Aminomalonic acid,APRIL/TNFSF13,30,29,0.357370845,"[0.00, 0.63]",0.048414059,0.704122005,FALSE
Aminomalonic acid,IL-28A/IFN-lambda2,30,29,0.356313412,"[0.00, 0.63]",0.04913034,0.704122005,FALSE
Palmitic Acid,sCD163,30,29,0.34503278,"[-0.01, 0.62]",0.057307286,0.704122005,FALSE
Methionine,IL-12(p40),30,29,0.34503278,"[-0.01, 0.62]",0.057307286,0.704122005,FALSE
L-5-Oxoproline,IL-12(p40),30,29,0.34503278,"[-0.01, 0.62]",0.057307286,0.704122005,FALSE
N-Acetylglutamine,IL-20,30,29,0.34503278,"[-0.01, 0.62]",0.057307286,0.704122005,FALSE
Ascorbic Acid,IL-19,30,29,0.34503278,"[-0.01, 0.62]",0.057307286,0.704122005,FALSE
"Ethanolamine, 3TMS",IL-19,30,29,0.34503278,"[-0.01, 0.62]",0.057307286,0.704122005,FALSE
Glyceric acid,IL-19,30,29,0.34503278,"[-0.01, 0.62]",0.057307286,0.704122005,FALSE
2-Aminoadipic acid,IL-20,30,29,0.34503278,"[-0.01, 0.62]",0.057307286,0.704122005,FALSE
Alanine,IFN-y,30,29,0.342624144,"[-0.01, 0.62]",0.05918466,0.704122005,FALSE
Serine,IFN-y,30,29,0.342624144,"[-0.01, 0.62]",0.05918466,0.704122005,FALSE
"1,5-Anhydrohexitol",IFN-y,30,29,0.342624144,"[-0.01, 0.62]",0.05918466,0.704122005,FALSE
Butanoic acid,IFN-y,30,29,0.342624144,"[-0.01, 0.62]",0.05918466,0.704122005,FALSE
Glycolic acid,IFN-y,30,29,0.342624144,"[-0.01, 0.62]",0.05918466,0.704122005,FALSE
Lactic Acid,IFN-y,30,29,0.342624144,"[-0.01, 0.62]",0.05918466,0.704122005,FALSE
Leucine,IFN-y,30,29,0.342624144,"[-0.01, 0.62]",0.05918466,0.704122005,FALSE
2-Aminoheptanedioic acid,IFN-y,30,29,0.342624144,"[-0.01, 0.62]",0.05918466,0.704122005,FALSE
L-5-Oxoproline,IFN-y,30,29,0.342624144,"[-0.01, 0.62]",0.05918466,0.704122005,FALSE
L-Aspartic acid,IFN-y,30,29,0.342624144,"[-0.01, 0.62]",0.05918466,0.704122005,FALSE
"2,3,4-Trihydroxybutyric acid",IL-26,30,29,0.335624311,"[-0.02, 0.62]",0.064915838,0.704122005,FALSE
Palmitic Acid,Osteocalcin,30,29,0.333333333,"[-0.02, 0.62]",0.066882891,0.704122005,FALSE
Oxalic acid,BAFF/TNFSF13B,30,29,0.333333333,"[-0.02, 0.62]",0.066882891,0.704122005,FALSE
"Ethanolamine, 2TMS",Chitinase 3-like1,30,29,0.333333333,"[-0.02, 0.62]",0.066882891,0.704122005,FALSE
Glutamine [-H2O],MMP-2,30,29,0.333333333,"[-0.02, 0.62]",0.066882891,0.704122005,FALSE
Threonine,Osteocalcin,30,29,0.333333333,"[-0.02, 0.62]",0.066882891,0.704122005,FALSE
"Ethanolamine, 2TMS",Osteocalcin,30,29,0.333333333,"[-0.02, 0.62]",0.066882891,0.704122005,FALSE
Ornithine,Osteopontin,30,29,0.333333333,"[-0.02, 0.62]",0.066882891,0.704122005,FALSE
Erythritol,Pentraxin-3,30,29,0.333333333,"[-0.02, 0.62]",0.066882891,0.704122005,FALSE
2-OH-Butanoic Acid,sTNF-R1,30,29,0.333333333,"[-0.02, 0.62]",0.066882891,0.704122005,FALSE
"Ethanolamine, 2TMS",sTNF-R2,30,29,0.333333333,"[-0.02, 0.62]",0.066882891,0.704122005,FALSE
Glutamine [-H2O],TWEAK/TNFSF12,30,29,0.333333333,"[-0.02, 0.62]",0.066882891,0.704122005,FALSE
"1,5-Anhydrohexitol",IL-11,30,29,0.329983165,"[-0.03, 0.61]",0.069842668,0.704122005,FALSE
Glyceraldehyde-3-P(MOX),IL-11,30,29,0.329983165,"[-0.03, 0.61]",0.069842668,0.704122005,FALSE
Methionine,IL-11,30,29,0.329983165,"[-0.03, 0.61]",0.069842668,0.704122005,FALSE
Tyrosine,IL-11,30,29,0.329983165,"[-0.03, 0.61]",0.069842668,0.704122005,FALSE
"Ethanolamine, 2TMS",IL-11,30,29,0.329983165,"[-0.03, 0.61]",0.069842668,0.704122005,FALSE
"Ethanolamine, 3TMS",IL-26,30,29,0.329983165,"[-0.03, 0.61]",0.069842668,0.704122005,FALSE
Indole-3-Latic Acid,IFN-a2,30,29,0.327760668,"[-0.03, 0.61]",0.071861674,0.709256608,FALSE
"2,3,4-Trihydroxybutyric acid",IFN-a2,30,29,0.327760668,"[-0.03, 0.61]",0.071861674,0.709256608,FALSE
Aminomalonic acid,IFN-a2,30,29,0.327760668,"[-0.03, 0.61]",0.071861674,0.709256608,FALSE
Glycerol,APRIL/TNFSF13,30,29,0.316227766,"[-0.04, 0.60]",0.083074666,0.731667525,FALSE
"Ethanolamine, 2TMS",APRIL/TNFSF13,30,29,0.316227766,"[-0.04, 0.60]",0.083074666,0.731667525,FALSE
"Ethanolamine, 3TMS",APRIL/TNFSF13,30,29,0.316227766,"[-0.04, 0.60]",0.083074666,0.731667525,FALSE
Methionine,MMP-1,30,29,0.316227766,"[-0.04, 0.60]",0.083074666,0.731667525,FALSE
"Ethanolamine, 3TMS",MMP-1,30,29,0.316227766,"[-0.04, 0.60]",0.083074666,0.731667525,FALSE
Indole-3-Latic Acid,IL-19,30,29,0.315838083,"[-0.04, 0.60]",0.083475702,0.731667525,FALSE
2-Aminoheptanedioic acid,IL-12(p70),30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
Glycolic acid,IL-12(p70),30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
"Ethanolamine, 3TMS",IL-28A/IFN-lambda2,30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
Glycerol,IL-28A/IFN-lambda2,30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
L-Alanine,IL-28A/IFN-lambda2,30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
L-Aspartic acid,IL-28A/IFN-lambda2,30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
Glyceraldehyde-3-P(MOX),IL-29/IFN-lambda1,30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
Butanoic acid,IL-29/IFN-lambda1,30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
Glycerol,IL-29/IFN-lambda1,30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
Glyceraldehyde-3-P(MOX),IL-12(p70),30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
Lactic Acid,IL-12(p70),30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
Methionine,IL-12(p70),30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
Serine,IL-12(p70),30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
Threonine,IL-12(p70),30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
2-Keto-3-methylvaleric acid,IL-12(p70),30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
"Ethanolamine, 3TMS",IL-12(p70),30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
L-Proline,IL-12(p70),30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
L-Rhamnose,IL-12(p70),30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
2-OH-Butanoic Acid,IL-29/IFN-lambda1,30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
Lactic Acid,IL-29/IFN-lambda1,30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
2-Keto-3-methylvaleric acid,IL-29/IFN-lambda1,30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
beta-Alanine,IL-29/IFN-lambda1,30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
L-5-Oxoproline,IL-29/IFN-lambda1,30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
L-Proline,IL-29/IFN-lambda1,30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
L-Rhamnose,IL-29/IFN-lambda1,30,29,0.311399578,"[-0.05, 0.60]",0.088148961,0.731667525,FALSE
"2,3,4-Trihydroxybutyric acid",Chitinase 3-like1,30,29,0.305128577,"[-0.06, 0.60]",0.095088807,0.744545359,FALSE
Tyrosine,IL-10,30,29,0.305128577,"[-0.06, 0.60]",0.095088807,0.744545359,FALSE
Aminomalonic acid,Osteopontin,30,29,0.305128577,"[-0.06, 0.60]",0.095088807,0.744545359,FALSE
Indole-3-Propionic Acid,sTNF-R1,30,29,0.305128577,"[-0.06, 0.60]",0.095088807,0.744545359,FALSE
"2,3,4-Trihydroxybutyric acid",sTNF-R2,30,29,0.305128577,"[-0.06, 0.60]",0.095088807,0.744545359,FALSE
Aminomalonic acid,sTNF-R2,30,29,0.305128577,"[-0.06, 0.60]",0.095088807,0.744545359,FALSE
2-OH-Butanoic Acid,IFN-a2,30,29,0.28644595,"[-0.08, 0.58]",0.118225541,0.784634532,FALSE
N-Acetylglutamine,IFN-a2,30,29,0.28644595,"[-0.08, 0.58]",0.118225541,0.784634532,FALSE
Butanoic acid,IL-35,30,29,0.28644595,"[-0.08, 0.58]",0.118225541,0.784634532,FALSE
L-Rhamnose,IFN-a2,30,29,0.28644595,"[-0.08, 0.58]",0.118225541,0.784634532,FALSE
Serine,IL-35,30,29,0.28644595,"[-0.08, 0.58]",0.118225541,0.784634532,FALSE
2-Aminoadipic acid,IL-35,30,29,0.28644595,"[-0.08, 0.58]",0.118225541,0.784634532,FALSE
beta-Alanine,IL-35,30,29,0.28644595,"[-0.08, 0.58]",0.118225541,0.784634532,FALSE
"Ethanolamine, 3TMS",IL-35,30,29,0.28644595,"[-0.08, 0.58]",0.118225541,0.784634532,FALSE
L-Aspartic acid,IL-35,30,29,0.28644595,"[-0.08, 0.58]",0.118225541,0.784634532,FALSE
L-Rhamnose,IL-35,30,29,0.28644595,"[-0.08, 0.58]",0.118225541,0.784634532,FALSE
Indole-3-Propionic Acid,APRIL/TNFSF13,30,29,0.285896676,"[-0.08, 0.58]",0.11896385,0.784634532,FALSE
Indole-3-Latic Acid,IL-29/IFN-lambda1,30,29,0.277132654,"[-0.09, 0.58]",0.131211602,0.784634532,FALSE
2-OH-Butanoic Acid,IL-12(p40),30,29,0.276026224,"[-0.09, 0.57]",0.132821294,0.784634532,FALSE
Alanine,IL-12(p40),30,29,0.276026224,"[-0.09, 0.57]",0.132821294,0.784634532,FALSE
Glutamine [-H2O],IL-12(p40),30,29,0.276026224,"[-0.09, 0.57]",0.132821294,0.784634532,FALSE
Threonine,IL-12(p40),30,29,0.276026224,"[-0.09, 0.57]",0.132821294,0.784634532,FALSE
"1,5-Anhydrohexitol",IL-12(p40),30,29,0.276026224,"[-0.09, 0.57]",0.132821294,0.784634532,FALSE
L-Alanine,IL-12(p40),30,29,0.276026224,"[-0.09, 0.57]",0.132821294,0.784634532,FALSE
"1,5-Anhydrohexitol",IL-20,30,29,0.276026224,"[-0.09, 0.57]",0.132821294,0.784634532,FALSE
L-Proline,IL-12(p40),30,29,0.276026224,"[-0.09, 0.57]",0.132821294,0.784634532,FALSE
2-OH-Butanoic Acid,IL-19,30,29,0.276026224,"[-0.09, 0.57]",0.132821294,0.784634532,FALSE
Oleic Acid,IL-20,30,29,0.276026224,"[-0.09, 0.57]",0.132821294,0.784634532,FALSE
beta-Alanine,IL-20,30,29,0.276026224,"[-0.09, 0.57]",0.132821294,0.784634532,FALSE
Glycerol,IL-20,30,29,0.276026224,"[-0.09, 0.57]",0.132821294,0.784634532,FALSE
L-(+)-Erythrulose,IL-20,30,29,0.276026224,"[-0.09, 0.57]",0.132821294,0.784634532,FALSE
L-5-Oxoproline,IL-20,30,29,0.276026224,"[-0.09, 0.57]",0.132821294,0.784634532,FALSE
Asparagine,IFN-y,30,29,0.271041082,"[-0.09, 0.57]",0.140253826,0.784634532,FALSE
Indole-3-Latic Acid,IFN-y,30,29,0.271041082,"[-0.09, 0.57]",0.140253826,0.784634532,FALSE
4-Aminobutanoic acid,IFN-y,30,29,0.271041082,"[-0.09, 0.57]",0.140253826,0.784634532,FALSE
Palmitic Acid,BAFF/TNFSF13B,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
"Ethanolamine, 2TMS",gp130/sIL-6Rb,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
Palmitic Acid,sIL-6Ra,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
Glyceraldehyde-3-P(MOX),MMP-2,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
Palmitic Acid,MMP-2,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
Palmitic Acid,MMP-3,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
Glutamine [-H2O],Osteocalcin,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
Palmitic Acid,sTNF-R1,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
beta-D-Xylopyranose,sTNF-R1,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
N-Acetylglutamine,sTNF-R2,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
Glyceraldehyde-3-P(MOX),TWEAK/TNFSF12,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
Palmitic Acid,TWEAK/TNFSF12,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
Lactic Acid,sIL-6Ra,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
"Ethanolamine, 3TMS",MMP-2,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
Serine,Pentraxin-3,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
Stearic Acid,Pentraxin-3,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
Tyrosine,Pentraxin-3,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
2-Keto-3-methylvaleric acid,Pentraxin-3,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
Doconexent,Pentraxin-3,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
Methyl galactoside,Pentraxin-3,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
Nonanoic acid,Pentraxin-3,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
"Ethanolamine, 3TMS",TWEAK/TNFSF12,30,29,0.266666667,"[-0.10, 0.57]",0.147021488,0.784634532,FALSE
Ornithine,IFN-y,30,29,0.266485446,"[-0.10, 0.57]",0.147306866,0.784634532,FALSE
Glutamine [-H2O],IFN-y,30,29,0.266485446,"[-0.10, 0.57]",0.147306866,0.784634532,FALSE
2-Keto-3-methylvaleric acid,IFN-y,30,29,0.266485446,"[-0.10, 0.57]",0.147306866,0.784634532,FALSE
beta-Alanine,IFN-y,30,29,0.266485446,"[-0.10, 0.57]",0.147306866,0.784634532,FALSE
"Ethanolamine, 3TMS",IFN-y,30,29,0.266485446,"[-0.10, 0.57]",0.147306866,0.784634532,FALSE
L-Rhamnose,IFN-y,30,29,0.266485446,"[-0.10, 0.57]",0.147306866,0.784634532,FALSE
Methionine,APRIL/TNFSF13,30,29,0.245954929,"[-0.12, 0.55]",0.182289253,0.813039725,FALSE
Methyl galactoside,APRIL/TNFSF13,30,29,0.245954929,"[-0.12, 0.55]",0.182289253,0.813039725,FALSE
